,Postcode,Borough,Neighbourhood
59,M5H ,Downtown Toronto ,"Richmond, Adelaide, King ,Richmond, Adelaide, King"
60,M5J ,Downtown Toronto ,"Harbourfront East, Union Station, Toronto Islands ,Harbourfront East, Union Station, Toronto Islands"
61,M5K ,Downtown Toronto ,"Toronto Dominion Centre, Design Exchange ,Toronto Dominion Centre, Design Exchange"
62,M5L ,Downtown Toronto ,"Commerce Court, Victoria Hotel ,Commerce Court, Victoria Hotel"
63,M5M ,North York ,"Bedford Park, Lawrence Manor East ,Bedford Park, Lawrence Manor East"
64,M5N ,Central Toronto ,"Roselawn ,Roselawn"
65,M5P ,Central Toronto ,"Forest Hill North & West, Forest Hill Road Park ,Forest Hill North & West, Forest Hill Road Park"
66,M5R ,Central Toronto ,"The Annex, North Midtown, Yorkville ,The Annex, North Midtown, Yorkville"
67,M5S ,Downtown Toronto ,"University of Toronto, Harbord ,University of Toronto, Harbord"
68,M5T ,Downtown Toronto ,"Kensington Market, Chinatown, Grange Park ,Kensington Market, Chinatown, Grange Park"
69,M5V ,Downtown Toronto ,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport ,CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
70,M5W ,Downtown Toronto ,"Stn A PO Boxes ,Stn A PO Boxes"
71,M5X ,Downtown Toronto ,"First Canadian Place, Underground city ,First Canadian Place, Underground city"
72,M6A ,North York ,"Lawrence Manor, Lawrence Heights ,Lawrence Manor, Lawrence Heights"
73,M6B ,North York ,"Glencairn ,Glencairn"
74,M6C ,York ,"Humewood-Cedarvale ,Humewood-Cedarvale"
75,M6E ,York ,"Caledonia-Fairbanks ,Caledonia-Fairbanks"
76,M6G ,Downtown Toronto ,"Christie ,Christie"
77,M6H ,West Toronto ,"Dufferin, Dovercourt Village ,Dufferin, Dovercourt Village"
78,M6J ,West Toronto ,"Little Portugal, Trinity ,Little Portugal, Trinity"
79,M6K ,West Toronto ,"Brockton, Parkdale Village, Exhibition Place ,Brockton, Parkdale Village, Exhibition Place"
80,M6L ,North York ,"North Park, Maple Leaf Park, Upwood Park ,North Park, Maple Leaf Park, Upwood Park"
81,M6M ,York ,"Del Ray, Mount Dennis, Keelsdale and Silverthorn ,Del Ray, Mount Dennis, Keelsdale and Silverthorn"
82,M6N ,York ,"Runnymede, The Junction North ,Runnymede, The Junction North"
83,M6P ,West Toronto ,"High Park, The Junction South ,High Park, The Junction South"
84,M6R ,West Toronto ,"Parkdale, Roncesvalles ,Parkdale, Roncesvalles"
85,M6S ,West Toronto ,"Runnymede, Swansea ,Runnymede, Swansea"
86,M7A ,Downtown Toronto ,"Queen's Park, Ontario Provincial Government ,Queen's Park, Ontario Provincial Government"
87,M7R ,Mississauga ,"Canada Post Gateway Processing Centre ,Canada Post Gateway Processing Centre"
88,M7Y ,East Toronto ,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto ,Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
89,M8V ,Etobicoke ,"New Toronto, Mimico South, Humber Bay Shores ,New Toronto, Mimico South, Humber Bay Shores"
90,M8W ,Etobicoke ,"Alderwood, Long Branch ,Alderwood, Long Branch"
91,M8X ,Etobicoke ,"The Kingsway, Montgomery Road, Old Mill North ,The Kingsway, Montgomery Road, Old Mill North"
92,M8Y ,Etobicoke ,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East ,Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
93,M8Z ,Etobicoke ,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West ,Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
94,M9A ,Etobicoke ,"Islington Avenue, Humber Valley Village ,Islington Avenue, Humber Valley Village"
95,M9B ,Etobicoke ,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale ,West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
96,M9C ,Etobicoke ,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood ,Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
97,M9L ,North York ,"Humber Summit ,Humber Summit"
98,M9M ,North York ,"Humberlea, Emery ,Humberlea, Emery"
99,M9N ,York ,"Weston ,Weston"
100,M9P ,Etobicoke ,"Westmount ,Westmount"
101,M9R ,Etobicoke ,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens ,Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
102,M9V ,Etobicoke ,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens ,South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
103,M9W ,Etobicoke ,"Northwest, West Humber - Clairville ,Northwest, West Humber - Clairville"
